transactionID;carrierID;customerID;amount;date
1;1;107;18,2;2006-10-02 06:05:52
2;1;204;14,81;2005-09-14 04:27:53
3;3;568;18,34;2007-06-19 17:02:22
4;3;34;16,42;2009-09-15 02:57:18
5;1;498;17,36;2005-03-21 04:11:57
6;1;521;9,11;2007-03-12 08:15:52
7;2;738;10,72;2008-12-31 10:30:54
8;2;849;18,24;2006-06-03 23:38:05
9;3;639;7,36;2006-06-15 05:58:41
10;3;425;18,01;2005-02-16 02:52:40
11;1;769;13,22;2005-12-25 18:44:32
12;1;761;16,12;2008-11-15 13:23:02
13;1;960;11,53;2008-11-18 15:51:56
14;1;552;8,37;2008-08-12 00:09:33
15;3;272;12,26;2008-07-24 19:45:37
16;2;317;19,32;2009-05-12 12:04:53
17;3;935;10,31;2008-04-14 07:23:43
18;1;261;13,94;2005-06-06 08:28:56
19;1;814;7,5;2009-05-19 22:01:40
20;1;220;7,25;2006-06-08 21:26:30
21;1;942;15,89;2007-12-20 09:59:48
22;3;603;12,16;2008-11-08 23:38:31
23;1;600;18,61;2008-04-24 19:45:27
24;2;366;11,97;2009-06-10 07:04:46
25;1;519;9,77;2008-03-10 09:57:01
26;1;802;19,07;2008-03-28 17:03:11
27;2;54;16,64;2006-10-03 21:20:06
28;2;852;18,89;2009-05-20 16:30:10
29;3;472;19,9;2005-11-23 15:05:49
30;3;427;16,89;2008-09-03 05:41:46
31;2;812;18,64;2006-09-20 06:00:08
32;1;130;16,23;2006-12-14 01:10:20
33;2;967;6,75;2007-06-15 07:32:32
34;3;643;17,14;2009-08-07 21:19:10
35;2;358;17,42;2007-07-28 18:02:47
36;3;35;13,18;2008-09-05 03:13:56
37;3;320;18,95;2009-09-13 21:02:23
38;2;653;11,4;2007-01-22 05:45:59
39;3;875;13,05;2009-05-09 03:17:24
40;1;718;9,89;2007-02-03 22:58:20
41;2;22;11,66;2005-07-15 05:28:49
42;3;905;16,4;2008-12-26 01:05:39
43;3;768;10,64;2009-01-10 07:04:11
44;1;872;17,95;2005-10-31 22:12:39
45;1;58;6,22;2005-06-01 01:32:20
46;3;293;10,41;2008-09-02 10:33:48
47;3;871;10,27;2005-03-29 08:45:24
